System,ID,Title,Tags,Link
CASSANDRA,CASSANDRA-16261,[Prevent unbounded number of flushing tasks],"['sc-data', 'rc-unbound-persistent']",https://issues.apache.org/jira/browse/CASSANDRA-16261
CASSANDRA,CASSANDRA-16380,[KeyCache load performance issue during startup],"['sc-data', 'rc-compute-sync']",https://issues.apache.org/jira/browse/CASSANDRA-16380
CASSANDRA,CASSANDRA-16446,[Parent repair sessions leak may lead to node long pauses],"['sc-data', 'rc-logic-leak']",https://issues.apache.org/jira/browse/CASSANDRA-16446
CASSANDRA,CASSANDRA-16877,[High priority internode messages which exceed the large message threshold are dropped],"['sc-clus', 'rc-logic-corner']",https://issues.apache.org/jira/browse/CASSANDRA-16877
CASSANDRA,CASSANDRA-16904,[Check if size of object being added to RowCache and KeyCache is bigger than cache capacity],"['sc-data', 'rc-bloat-waste']",https://issues.apache.org/jira/browse/CASSANDRA-16904
CASSANDRA,CASSANDRA-17342,[Performance problem for node restart with incremental range repairs],"['sc-clus', 'rc-compute-app']",https://issues.apache.org/jira/browse/CASSANDRA-17342
CASSANDRA,CASSANDRA-17691,[Gossip/Decommission tasklock contention on large clusters],"['sc-clus', 'rc-compute-sync']",https://issues.apache.org/jira/browse/CASSANDRA-17691
CASSANDRA,CASSANDRA-17787,[Full repair on a keyspace with a large amount of tables causes OOM],"['sc-data', 'rc-unbound-temporary']",https://issues.apache.org/jira/browse/CASSANDRA-17787
CASSANDRA,CASSANDRA-18546,[Remove unnecessary shuffling of GossipDigests in Gossiper#makeRandomGossipDigest],"['sc-clus', 'rc-unbound-persistent']",https://issues.apache.org/jira/browse/CASSANDRA-18546
CASSANDRA,CASSANDRA-18773,[Compactions are slow],"['sc-data', 'rc-compute-app']",https://issues.apache.org/jira/browse/CASSANDRA-18773
CASSANDRA,CASSANDRA-19107,[Revert unnecessary read lock acquisition when reading ring version in TokenMetadata introduced in CASSANDRA-16286],"['sc-clus', 'rc-compute-app']",https://issues.apache.org/jira/browse/CASSANDRA-19107
CASSANDRA,CASSANDRA-19336,[Repair causes out of memory],"['sc-data', 'rc-unbound-temporary']",https://issues.apache.org/jira/browse/CASSANDRA-19336
CASSANDRA,CASSANDRA-19412,[delete useless collection:backPressureHosts in the sendToHintedReplicas to improve write performance],"['sc-clus', 'rc-unbound-persistent']",https://issues.apache.org/jira/browse/CASSANDRA-19412
CASSANDRA,CASSANDRA-19477,[Do not go to disk to get HintsStore.getTotalFileSize],"['sc-load', 'rc-compute-cross']",https://issues.apache.org/jira/browse/CASSANDRA-19477
CASSANDRA,CASSANDRA-19534,[Unbounded queues in native transport requests lead to node instability],"['sc-load', 'rc-unbound-persistent']",https://issues.apache.org/jira/browse/CASSANDRA-19534
CASSANDRA,CASSANDRA-13215,[Cassandra nodes startup time 20x more after upgarding to 3.x],"['sc-clus', 'rc-compute-app']",https://issues.apache.org/jira/browse/CASSANDRA-13215
CASSANDRA,CASSANDRA-13948,[Reload compaction strategies when JBOD disk boundary changes],"['sc-data', 'rc-compute-sync']",https://issues.apache.org/jira/browse/CASSANDRA-13948
CASSANDRA,CASSANDRA-9882,[DTCS (maybe other strategies) can block flushing when there are lots of sstables],"['sc-data', 'rc-compute-sync']",https://issues.apache.org/jira/browse/CASSANDRA-9882
CASSANDRA,CASSANDRA-16201,[Reduce amount of allocations during batch statement execution],"['sc-data', 'rc-unbound-temporary']",https://issues.apache.org/jira/browse/CASSANDRA-16201
CASSANDRA,CASSANDRA-15514,[Properly clean up DefaultSessionProvider#sessionCache when closing QueryReplayer],"['sc-load', 'rc-logic-leak']",https://issues.apache.org/jira/browse/CASSANDRA-15514
CASSANDRA,CASSANDRA-15400,[Cassandra 3.0.18 went OOM several hours after joining a cluster],"['sc-clus', 'rc-bloat-waste']",https://issues.apache.org/jira/browse/CASSANDRA-15400
CASSANDRA,CASSANDRA-15364,[Avoid over scanning data directories in LogFile.verify()],"['sc-data', 'rc-compute-app']",https://issues.apache.org/jira/browse/CASSANDRA-15364
CASSANDRA,CASSANDRA-15141,[Faster token ownership calculation for NetworkTopologyStrategy],"['sc-clus', 'rc-compute-sync']",https://issues.apache.org/jira/browse/CASSANDRA-15141
CASSANDRA,CASSANDRA-15013,[Prevent client requests from blocking on executor task queue],"['sc-load', 'rc-unbound-persistent']",https://issues.apache.org/jira/browse/CASSANDRA-15013
CASSANDRA,CASSANDRA-14855,"[Message Flusher scheduling fell off the event loop, resulting in out of memory]","['sc-load', 'rc-unbound-persistent']",https://issues.apache.org/jira/browse/CASSANDRA-14855
CASSANDRA,CASSANDRA-14840,[Bootstrap of new node fails with OOM in a large cluster],"['sc-clus', 'rc-unbound-persistent']",https://issues.apache.org/jira/browse/CASSANDRA-14840
CASSANDRA,CASSANDRA-14834,[Avoid keeping StreamingTombstoneHistogramBuilder.Spool in memory during the whole compaction],"['sc-data', 'rc-bloat-waste']",https://issues.apache.org/jira/browse/CASSANDRA-14834
CASSANDRA,CASSANDRA-14747,"[Evaluate 200 node, compression=none, encryption=none, coalescing=off]","['sc-data', 'rc-unbound-persistent']",https://issues.apache.org/jira/browse/CASSANDRA-14747
CASSANDRA,CASSANDRA-14660,[Improve TokenMetaData cache populating performance for large cluster],"['sc-clus', 'rc-compute-sync']",https://issues.apache.org/jira/browse/CASSANDRA-14660
CASSANDRA,CASSANDRA-14239,[OutOfMemoryError when bootstrapping with less than 100GB RAM],"['sc-load', 'rc-unbound-persistent']",https://issues.apache.org/jira/browse/CASSANDRA-14239
CASSANDRA,CASSANDRA-14096,[Cassandra 3.11.1 Repair Causes Out of Memory],"['sc-data', 'rc-unbound-persistent']",https://issues.apache.org/jira/browse/CASSANDRA-14096
CASSANDRA,CASSANDRA-13993,[Add optional startup delay to wait until peers are ready],"['sc-clus', 'rc-compute-cross']",https://issues.apache.org/jira/browse/CASSANDRA-13993
CASSANDRA,CASSANDRA-13923,[Flushers blocked due to many SSTables],"['sc-data', 'rc-compute-sync']",https://issues.apache.org/jira/browse/CASSANDRA-13923
CASSANDRA,CASSANDRA-13569,[Schedule schema pulls just once per endpoint],"['sc-clus', 'rc-unbound-persistent']",https://issues.apache.org/jira/browse/CASSANDRA-13569
CASSANDRA,CASSANDRA-13299,[Potential OOMs and lock contention in write path streams],"['sc-data', 'rc-unbound-persistent']",https://issues.apache.org/jira/browse/CASSANDRA-13299
CASSANDRA,CASSANDRA-13065,[Skip building views during base table streams on range movements],"['sc-data', 'rc-compute-sync']",https://issues.apache.org/jira/browse/CASSANDRA-13065
CASSANDRA,CASSANDRA-12281,[Gossip blocks on startup when there are pending range movements],"['sc-clus', 'rc-compute-sync']",https://issues.apache.org/jira/browse/CASSANDRA-12281
